startup_id,startup_name,founded_year,industry,country,funding_rounds,total_funding_usd,last_funding_stage,employees,team_size,followers,job_openings,remote_friendly,monthly_web_visits,investor_count,latest_valuation_usd,has_exit,exit_type,years_to_exit,startup_age_years
S001,AlphaAI,2018,AI,USA,3,4500000,Series A,45,42,7800,5,1,52000,8,35000000,0,,,8
S002,FinCore,2016,FinTech,USA,4,12000000,Series B,120,115,6200,12,1,73000,15,120000000,1,Acquisition,7.0,10
S003,HealthBridge,2019,HealthTech,UK,2,1800000,Seed,30,28,3900,4,1,31000,5,22000000,0,,,7
S004,GreenGrid,2015,CleanTech,Germany,5,22000000,Series C,200,185,4500,8,0,28000,18,300000000,1,IPO,8.0,11
S005,ShopPilot,2020,Ecommerce,India,1,600000,Pre-Seed,18,16,2600,3,1,19000,3,7000000,0,,,6
S006,CloudOrbit,2017,SaaS,USA,3,7500000,Series A,85,80,5100,6,1,47000,11,85000000,0,,,9
S007,AgriNova,2014,AgriTech,Brazil,4,9500000,Series B,140,132,3300,4,0,25000,13,95000000,1,Acquisition,9.0,12
S008,CyberNest,2018,Cybersecurity,Israel,2,3200000,Seed,55,50,5700,7,1,49000,9,40000000,0,,,8
S009,EdSpark,2021,EdTech,Canada,1,500000,Pre-Seed,12,10,1800,2,1,14000,2,5000000,0,,,5
S010,LogiFlow,2016,Logistics,Singapore,3,6800000,Series A,75,70,4100,5,0,36000,10,65000000,0,,,10
