startup_id,startup_name,founded_year,industry,country,funding_rounds,total_funding_usd,last_funding_stage,employees,team_size,followers,job_openings,remote_friendly,monthly_web_visits,investor_count,latest_valuation_usd,has_exit,exit_type,years_to_exit,startup_age_years,years_to_exit_missing_flag,exit_type_missing_flag,funding_stage_rank,log1p_total_funding_usd,log1p_latest_valuation_usd,log1p_monthly_web_visits,log1p_followers
S001,AlphaAI,2018,Ai,Usa,3,4500000,Series A,45,42,7800,5.0,1,52000,8,35000000,0,No Exit,0.0,8,1,1,2,15.319588176962746,17.370858648025116,10.859018228147887,8.962007209588313
S002,FinCore,2016,Fintech,Usa,4,12000000,Series B,120,115,6200,10.875,1,73000,15,120000000,1,Acquisition,7.0,10,0,0,3,16.300417291085605,18.603002309079653,11.19822841866684,8.732465848349879
S003,HealthBridge,2019,Healthtech,Uk,2,1800000,Seed,30,28,3900,4.0,1,31000,5,22000000,0,No Exit,0.0,7,1,1,1,14.403297778421795,16.906553056777135,10.34177474101152,8.268988209506656
S004,GreenGrid,2015,Cleantech,Germany,5,19275000,Series C,200,185,4500,8.0,0,28000,18,193375000,1,Ipo,8.0,11,0,0,4,16.774319529294342,19.080141872028804,10.239995502805316,8.412054873292933
S005,ShopPilot,2020,Ecommerce,India,1,600000,Pre-Seed,18,16,2600,3.0,1,19000,3,7000000,0,No Exit,0.0,6,1,1,0,13.304686600863562,15.76142084987672,9.852246888342531,7.8636512654486515
S006,CloudOrbit,2017,Saas,Usa,3,7500000,Series A,85,80,5100,6.0,1,47000,11,85000000,0,No Exit,0.0,9,1,1,2,15.830413711839864,18.258161826219297,10.757924157061597,8.537191877922927
S007,AgriNova,2014,Agritech,Brazil,4,9500000,Series B,140,132,3300,4.0,0,25000,13,95000000,1,Acquisition,9.0,12,0,0,3,16.066802461833923,18.36938746009113,10.12667110305036,8.101980731853192
S008,CyberNest,2018,Cybersecurity,Israel,2,3200000,Seed,55,50,5700,7.0,1,49000,9,40000000,0,No Exit,0.0,8,1,1,1,14.978661680269907,17.50439003707821,10.799595985047786,8.648396877031582
S009,EdSpark,2021,Edtech,Canada,1,500000,Pre-Seed,12,10,1800,2.0,1,14000,2,5000000,0,No Exit,0.0,5,1,1,0,13.122365377402328,15.424948670398354,9.546884034617925,7.496097345175956
S010,LogiFlow,2016,Logistics,Singapore,3,6800000,Series A,75,70,4100,5.0,0,36000,10,65000000,0,No Exit,0.0,10,1,1,2,15.732433317205148,17.989897843244528,10.491301994830229,8.31898612539206
