feature,mean_abs_shap,mean_signed_shap
funding_stage_rank,0.05283876958190684,-0.024501397966594056
employees,0.04905198745899211,-0.018484305553694107
last_funding_stage_Series B,0.041852603045103055,-0.015381972194472201
funding_rounds,0.041212444938102846,-0.01970400907571962
team_size,0.037648958972218774,-0.015107043746921206
total_funding_usd,0.037088267255811116,-0.014165024316260141
startup_age_years,0.0358330729282948,-0.014618623700192332
latest_valuation_usd,0.031222643215535372,-0.011314783101792918
log1p_total_funding_usd,0.02516351250601251,-0.009031781132810553
last_funding_stage_Series A,0.02282363249925169,-0.004582749878260724
founded_year,0.02083525910364146,-0.008000175070028015
remote_friendly,0.01932895289179345,-0.0030929413543113278
log1p_latest_valuation_usd,0.018174568160597572,-0.004719129318394031
investor_count,0.015007687030652717,-0.0036315743035105798
industry_Fintech,0.011245486969004126,-0.005647629856073486
job_openings,0.00883811526300497,-0.0037496153805344984
industry_Agritech,0.0058041666666666675,-0.0027625
monthly_web_visits,0.00558868265993266,-0.0022073214285714287
log1p_monthly_web_visits,0.004746228861915136,-0.0032888214545077296
country_Germany,0.004711111111111114,-0.002627777777777781
industry_Cleantech,0.0042666666666666695,-0.0019333333333333377
last_funding_stage_Pre-Seed,0.003825036075036075,-0.001158189033189034
last_funding_stage_Series C,0.003533333333333334,-0.0017833333333333347
log1p_followers,0.003272628390128391,-0.0010485572760572767
followers,0.0018431464504993912,-0.0009451991907874263
country_Brazil,0.0014915404040404053,-0.00041957070707070843
industry_Healthtech,0.0011196338383838388,-0.00014804292929292893
industry_Logistics,0.0010307539682539685,-0.00010998677248677232
country_India,0.0010065656565656572,-0.0001954545454545454
industry_Ecommerce,0.0,0.0
industry_Cybersecurity,0.0,0.0
industry_Ai,0.0,0.0
industry_Edtech,0.0,0.0
country_Israel,0.0,0.0
industry_Saas,0.0,0.0
country_Canada,0.0,0.0
country_Usa,0.0,0.0
country_Uk,0.0,0.0
country_Singapore,0.0,0.0
last_funding_stage_Seed,0.0,0.0
